Pups: 95, Wolves: 73
Total configs: 41984
Unique configs: 14204
Step 205:        left=[1, 68], right=[94, 5]  (BOAT)
Step 206: (BOAT) left=[2, 68], right=[93, 5]
Step 207:        left=[0, 68], right=[95, 5]  (BOAT)
Step 208: (BOAT) left=[1, 68], right=[94, 5]
Step 209:        left=[1, 67], right=[94, 6]  (BOAT)
Step 210: (BOAT) left=[2, 67], right=[93, 6]
Step 211:        left=[0, 67], right=[95, 6]  (BOAT)
Step 212: (BOAT) left=[1, 67], right=[94, 6]
Step 213:        left=[1, 66], right=[94, 7]  (BOAT)
Step 214: (BOAT) left=[2, 66], right=[93, 7]
Step 215:        left=[0, 66], right=[95, 7]  (BOAT)
Step 216: (BOAT) left=[1, 66], right=[94, 7]
Step 217:        left=[1, 65], right=[94, 8]  (BOAT)
Step 218: (BOAT) left=[2, 65], right=[93, 8]
Step 219:        left=[0, 65], right=[95, 8]  (BOAT)
Step 220: (BOAT) left=[1, 65], right=[94, 8]
Step 221:        left=[1, 64], right=[94, 9]  (BOAT)
Step 222: (BOAT) left=[2, 64], right=[93, 9]
Step 223:        left=[0, 64], right=[95, 9]  (BOAT)
Step 224: (BOAT) left=[1, 64], right=[94, 9]
Step 225:        left=[1, 63], right=[94, 10]  (BOAT)
Step 226: (BOAT) left=[2, 63], right=[93, 10]
Step 227:        left=[0, 63], right=[95, 10]  (BOAT)
Step 228: (BOAT) left=[1, 63], right=[94, 10]
Step 229:        left=[1, 62], right=[94, 11]  (BOAT)
Step 230: (BOAT) left=[2, 62], right=[93, 11]
Step 231:        left=[0, 62], right=[95, 11]  (BOAT)
Step 232: (BOAT) left=[1, 62], right=[94, 11]
Step 233:        left=[1, 61], right=[94, 12]  (BOAT)
Step 234: (BOAT) left=[2, 61], right=[93, 12]
Step 235:        left=[0, 61], right=[95, 12]  (BOAT)
Step 236: (BOAT) left=[1, 61], right=[94, 12]
Step 237:        left=[1, 60], right=[94, 13]  (BOAT)
Step 238: (BOAT) left=[2, 60], right=[93, 13]
Step 239:        left=[0, 60], right=[95, 13]  (BOAT)
Step 240: (BOAT) left=[1, 60], right=[94, 13]
Step 241:        left=[1, 59], right=[94, 14]  (BOAT)
Step 242: (BOAT) left=[2, 59], right=[93, 14]
Step 243:        left=[0, 59], right=[95, 14]  (BOAT)
Step 244: (BOAT) left=[1, 59], right=[94, 14]
Step 245:        left=[1, 58], right=[94, 15]  (BOAT)
Step 246: (BOAT) left=[2, 58], right=[93, 15]
Step 247:        left=[0, 58], right=[95, 15]  (BOAT)
Step 248: (BOAT) left=[1, 58], right=[94, 15]
Step 249:        left=[1, 57], right=[94, 16]  (BOAT)
Step 250: (BOAT) left=[2, 57], right=[93, 16]
Step 251:        left=[0, 57], right=[95, 16]  (BOAT)
Step 252: (BOAT) left=[1, 57], right=[94, 16]
Step 253:        left=[1, 56], right=[94, 17]  (BOAT)
Step 254: (BOAT) left=[2, 56], right=[93, 17]
Step 255:        left=[0, 56], right=[95, 17]  (BOAT)
Step 256: (BOAT) left=[1, 56], right=[94, 17]
Step 257:        left=[1, 55], right=[94, 18]  (BOAT)
Step 258: (BOAT) left=[2, 55], right=[93, 18]
Step 259:        left=[0, 55], right=[95, 18]  (BOAT)
Step 260: (BOAT) left=[1, 55], right=[94, 18]
Step 261:        left=[1, 54], right=[94, 19]  (BOAT)
Step 262: (BOAT) left=[2, 54], right=[93, 19]
Step 263:        left=[0, 54], right=[95, 19]  (BOAT)
Step 264: (BOAT) left=[1, 54], right=[94, 19]
Step 265:        left=[1, 53], right=[94, 20]  (BOAT)
Step 266: (BOAT) left=[2, 53], right=[93, 20]
Step 267:        left=[0, 53], right=[95, 20]  (BOAT)
Step 268: (BOAT) left=[1, 53], right=[94, 20]
Step 269:        left=[1, 52], right=[94, 21]  (BOAT)
Step 270: (BOAT) left=[2, 52], right=[93, 21]
Step 271:        left=[0, 52], right=[95, 21]  (BOAT)
Step 272: (BOAT) left=[1, 52], right=[94, 21]
Step 273:        left=[1, 51], right=[94, 22]  (BOAT)
Step 274: (BOAT) left=[2, 51], right=[93, 22]
Step 275:        left=[0, 51], right=[95, 22]  (BOAT)
